year	box office rank (excl. animation/doc)	box office rank (orig.)	title	ID	imdb	in collection?	frames	fps	Runtime (mins)	UPC	black	east_asian	hispanic_latino	south_asian	white	men	women	entropy	lead black	lead east_asian	lead hispanic_latino	lead south_asian	lead white	lead men	lead women	non-lead black	non-lead east_asian	non-lead hispanic_latino	non-lead south_asian	non-lead white	non-lead men	non-lead women	boxofficemojo	gross	theaters	total gross	release date	distributor	genres	director name	director IMDB id	director gender	awards (N/A)
1980	0	1	Star Wars: Episode V - The Empire Strikes Back	empire_strikes_back	tt0080684	Y	183234	23.97602403	127.37	024543123415	0.1102982732	0	0.01106750392	0	0.8889748823	0.8373602065	0.1626397935	0.183	0	0	0	0	1	0.6842130381	0.3157869619	0.3224118943	0	0.03235132159	0	0.6754634728	1	0	/release/rl2775811585/?ref_=bo_yld_table_1	$203,359,628	1,278	$209,398,025	May 21	Twentieth Century Fox	Adventure,Fantasy,Action	Irvin Kershner	nm0449984	male	
1980	1	2	9 to 5	nine_to_five	tt0080319	Y	157354	23.97602404	109.38	024543231523	0	0.01832384124	0.05699545262	0	0.9530459846	0.2438370378	0.7561629622	0	0	0	0.07534685165	0	0.9623265742	0	1	0	0.07523370536	0	0	0.9242224927	0.8104547304	0.1895452696	/release/rl876643841/?ref_=bo_yld_table_2	$103,290,500	910	$103,290,500	Dec 19	Twentieth Century Fox	Comedy	Colin Higgins	nm0383359	male	
1980	2	3	Stir Crazy	stir_crazy	tt0081562	Y	199739	29.97002997	111.08	014381689921	0.3651030174	0	0.06882876639	0	0.5879355243	0.9557042858	0.04429571423	0.677	0.4759400207	0	0	0	0.5240599793	1	0	0.1956204568	0	0.174075888	0	0.6856085993	0.8949516202	0.1050483798	/release/rl3312682497/?ref_=bo_yld_table_3	$101,300,000	813	$101,300,000	Dec 12	Columbia Pictures	Comedy,Crime	Sidney Poitier	nm0001627	male	
1980	3	4	Kramer vs. Kramer	kramer_v_kramer	tt0079417	Y	188489	29.97002997	104.82	043396048584	0	0	0.06363114484	0	0.8890742329	0.7448593074	0.2551406926	0	0	0	0.1	0	0.8	1	0	0	0	0.02108217236	0	0.9932847468	0.4613114264	0.5386885736	/release/rl3999041025/?ref_=bo_yld_table_4	$94,448,310	898	$106,260,000	Dec 19	Columbia Pictures	Drama	Robert Benton	nm0000914	male	
1980	4	5	Any Which Way You Can	any_which_way_you_can	tt0080377	Y	166424	23.97602405	115.69	883929107803	0.004975444598	0	0.04440692312	0	0.9566396572	0.7750117742	0.2249882258	0.154	0	0	0	0	1	1	0	0.006843981953	0	0.06108402464	0	0.9403556008	0.7072430497	0.2927569503	/release/rl1916962305/?ref_=bo_yld_table_5	$70,687,344	1,541	$70,687,344	Dec 17	Warner Bros.	Comedy,Action	Buddy Van Horn	nm0887174	male	
1980	5	6	Private Benjamin	private_benjamin_fs	tt0081375	Y	157993	23.97602405	109.83	085391107521	0.04126263355	0.008292012484	0.03005930459	0.002073003121	0.9371811714	0.3283608131	0.6716391869	0.161	0	0	0	0	1	0	1	0.07083452825	0.01423468989	0.05160205438	0.003558672472	0.8921604922	0.5469803941	0.4530196059	/release/rl3513484801/?ref_=bo_yld_table_6	$69,847,348	763	$69,847,348	Oct 10	Warner Bros.	Comedy,War	Howard Zieff	nm0956052	male	
1980	6	7	Coal Miner's Daughter	coal_miners_daughter	tt0080549	Y	178817	23.97602404	124.30	025192675324	0	0	0.04129920663	0	1	0.4686328007	0.5313671993	0	0	0	0.0456664397	0	1	0.456664397	0.543335603	0	0	0	0	1	0.5545403032	0.4454596968	/release/rl1883932161/?ref_=bo_yld_table_7	$67,182,787	437	$67,182,787	Mar 7	Universal Pictures	Music,Drama,Biography	Michael Apted	nm0000776	male	
1980	7	8	Smokey and the Bandit II	smokey_and_the_bandit_2	tt0081529	Y	181079	29.97002997	100.70	025192261923	0	0	0.0841790429	0.008040429043	0.9680191144	0.8403353235	0.1596646765	0	0	0	0.2	0	0.9	1	0	0	0	0.02972292701	0.01182083759	1	0.7721517825	0.2278482175	/release/rl460359169/?ref_=bo_yld_table_8	$66,132,626	1,196	$66,132,626	Aug 15	Universal Pictures	Comedy,Adventure,Action	Hal Needham	nm0624102	male	
1980	8	9	The Blues Brothers	blues_brothers	tt0080455	Y	212532	23.97602404	147.74	025192029929	0.1748556488	0.0001513115687	0.05665589328	0	0.8190011015	0.8795967996	0.1204032004	0.127	0	0	0.1	0	1	1	0	0.3373344854	0.0002919128465	0.01637981364	0	0.650813853	0.8090893036	0.1909106964	/release/rl289834497/?ref_=bo_yld_table_9	$57,229,890	594	$57,229,890	Jun 20	Universal Pictures	Comedy,Adventure,Action	John Landis	nm0000484	male	
1980	9	10	Ordinary People	ordinary_people	tt0081283	Y	178510	23.97602403	124.09	097360896442	0	0	0.03125882056	0	0.997874244	0.7083119161	0.2916880839	0	0	0	0	0	1	1	0	0	0	0.04898503219	0	0.996668773	0.5530858249	0.4469141751	/release/rl3378939393/?ref_=bo_yld_table_10	$54,766,923	6	$54,766,923	Sep 19	Paramount Pictures	Drama	Robert Redford	nm0000602	male	
