actor IMDB	year	movie IMDB	movie ID	award_year	Actor	Title	Time	Mins	Lead
nm0000093	1996	tt0114746	12_monkeys	1995	Brad Pitt	12 Monkeys	17:36	17.6	non-lead
nm0252230	2013	tt2024544	12.years.a.slav_tt2024544	2013	Chiwetel Ejiofor	12 Years a Slave	1:37:18	97.3	lead
nm1055413	2013	tt2024544	12.years.a.slav_tt2024544	2013	Michael Fassbender	12 Years a Slave	27:59:00	27.983	non-lead
nm2143282	2013	tt2024544	12.years.a.slav_tt2024544	2013	Lupita Nyong'o	12 Years a Slave	22:30	22.5	non-lead
nm0290556	2010	tt1542344	127.hours_tt1542344	2010	James Franco	127 Hours	1:20:25	80.417	lead
nm0000158	2019	tt3224458	a.beautiful.day_tt3224458	2019	Tom Hanks	A Beautiful Day in the Neighborhood	44:56:00	44.933	non-lead
nm0000658	1988	tt0094924	a.cry.in.the.da_tt0094924	1988	Meryl Streep	A Cry in the Dark	1:07:29	67.483	lead
nm0000458	2005	tt0399146	a.history.of.vi_tt0399146	2005	William Hurt	A History of Violence	8:22	8.367	non-lead
nm0001114	1985	tt0087892	a.passage.to.in_tt0087892	1984	Judy Davis	A Passage to India	53:06:00	53.1	lead
nm0001919	1985	tt0087892	a.passage.to.in_tt0087892	1984	Peggy Ashcroft	A Passage to India	32:16:00	32.267	non-lead
nm0001186	1987	tt0091867	a.room.with.a.v_tt0091867	1986	Denholm Elliott	A Room with a View	13:03	13.05	non-lead
nm0001749	1987	tt0091867	a.room.with.a.v_tt0091867	1986	Maggie Smith	A Room with a View	26:30:00	26.5	non-lead
nm0128360	1984	tt0088146	a.soldiers.stor_tt0088146	1984	Adolph Caesar	A Soldier's Story	26:35:00	26.583	non-lead
nm0000197	2003	tt0257360	about.schmidt_tt0257360	2002	Jack Nicholson	About Schmidt	1:35:57	95.95	lead
nm0000870	2003	tt0257360	about.schmidt_tt0257360	2002	Kathy Bates	About Schmidt	12:59	12.983	non-lead
nm0000056	1981	tt0081974	absence_of_malice	1981	Paul Newman	Absence of Malice	45:25:00	45.417	lead
nm0227039	1981	tt0081974	absence_of_malice	1981	Melinda Dillon	Absence of Malice	9:13	9.217	non-lead
nm0000133	1989	tt0094606	accidental.tour_tt0094606	1988	Geena Davis	The Accidental Tourist	29:30:00	29.5	non-lead
nm0000149	1988	tt0094608	accused_tt0094608	1988	Jodie Foster	The Accused	51:44:00	51.733	lead
nm0000115	2002	tt0268126	adaptation._tt0268126	2002	Nicolas Cage	Adaptation	1:03:38	63.633	lead
nm0000658	2002	tt0268126	adaptation._tt0268126	2002	Meryl Streep	Adaptation	30:45:00	30.75	non-lead
nm0000560	1997	tt0118564	affliction_tt0118564	1998	Nick Nolte	Affliction	1:25:14	85.233	lead
nm0000336	1997	tt0118564	affliction_tt0118564	1998	James Coburn	Affliction	17:10	17.167	non-lead
nm0000213	1993	tt0106226	age.of.innocenc_tt0106226	1993	Winona Ryder	The Age of Innocence	28:26:00	28.433	non-lead
nm0000843	1985	tt0088683	agnes.of.god_tt0088683	1985	Anne Bancroft	Agnes of God	33:26:00	33.433	lead
nm0000672	1985	tt0088683	agnes.of.god_tt0088683	1985	Meg Tilly	Agnes of God	37:00:00	37	non-lead
nm0000244	1986	tt0090605	alien_2	1986	Sigourney Weaver	Aliens	1:13:14	73.233	lead
nm0000531	2000	tt0181875	almost.famous_tt0181875	2000	Frances McDormand	Almost Famous	12:10	12.167	non-lead
nm0005028	2000	tt0181875	almost.famous_tt0181875	2000	Kate Hudson	Almost Famous	25:28:00	25.467	non-lead
nm0000719	1985	tt0086879	amadeus_tt0086879	1984	F. Murray Abraham	Amadeus	1:08:00	68	lead
nm0001371	1985	tt0086879	amadeus_tt0086879	1984	Tom Hulce	Amadeus	1:08:46	68.767	lead
nm0000228	1999	tt0169547	american_beauty	1999	Kevin Spacey	American Beauty	48:34:00	48.567	lead
nm0000906	1999	tt0169547	american_beauty	1999	Annette Bening	American Beauty	28:04:00	28.067	lead
nm0002039	2007	tt0765429	american_gangster	2007	Ruby Dee	American Gangster	6:10	6.167	non-lead
nm0177896	2015	tt2179136	american_sniper	2014	Bradley Cooper	American Sniper	1:24:29	84.483	lead
nm0000288	2013	tt1800241	american.hustle_tt1800241	2013	Christian Bale	American Hustle	1:07:34	67.567	lead
nm0010736	2013	tt1800241	american.hustle_tt1800241	2013	Amy Adams	American Hustle	49:50:00	49.833	lead
nm0177896	2013	tt1800241	american.hustle_tt1800241	2013	Bradley Cooper	American Hustle	45:40:00	45.667	non-lead
nm2225369	2013	tt1800241	american.hustle_tt1800241	2013	Jennifer Lawrence	American Hustle	20:18	20.3	non-lead
nm0000164	1997	tt0118607	amistad_tt0118607	1997	Anthony Hopkins	Amistad	27:50:00	27.833	non-lead
nm0728938	2012	tt1602620	amour_tt1602620	2012	Emmanuelle Riva	Amour	1:08:11	68.183	lead
nm1659547	2009	tt1174732	an.education_tt1174732	2009	Carey Mulligan	An Education	1:13:55	73.917	lead
nm0000438	1995	tt0112384	apollo13	1995	Ed Harris	Apollo 13	14:47	14.783	non-lead
nm0000599	1995	tt0112384	apollo13	1995	Kathleen Quinlan	Apollo 13	15:44	15.733	non-lead
nm0000273	2012	tt1024648	argo	2012	Alan Arkin	Argo	8:39	8.65	non-lead
